zooniverse_id,name,location,thumbnail_location,ra,dec
AAP000002i,B15-F09_4_F475W,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_4_F475W.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_4_F475W.jpg,11.233615204350267,41.86788787748288
AAP000002j,B15-F09_4_F475W_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_4_F475W_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_4_F475W_sc.jpg,11.233615204350267,41.86788787748288
AAP000002k,B15-F09_4_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_4_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_4_sc.jpg,11.233615204350267,41.86788787748288
AAP000002l,B15-F09_5,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_5.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_5.jpg,11.269322010308748,41.86930212718646
AAP000002m,B15-F09_5_F475W,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_5_F475W.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_5_F475W.jpg,11.269322010308748,41.86930212718646
AAP000002n,B15-F09_5_F475W_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_5_F475W_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_5_F475W_sc.jpg,11.269322010308748,41.86930212718646
AAP000002o,B15-F09_5_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_5_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_5_sc.jpg,11.269322010308748,41.86930212718646
AAP000002p,B15-F09_6,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_6.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_6.jpg,11.257808683368774,41.87066097918395
AAP000002q,B15-F09_6_F475W,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_6_F475W.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_6_F475W.jpg,11.257808683368774,41.87066097918395
AAP000002r,B15-F09_6_F475W_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_6_F475W_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_6_F475W_sc.jpg,11.257808683368774,41.87066097918395
AAP000002s,B15-F09_6_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_6_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_6_sc.jpg,11.257808683368774,41.87066097918395
AAP000002t,B15-F09_7,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_7.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_7.jpg,11.246294866869798,41.87201868128279
AAP000002u,B15-F09_7_F475W,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_7_F475W.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_7_F475W.jpg,11.246294866869798,41.87201868128279
AAP000002v,B15-F09_7_F475W_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_7_F475W_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_7_F475W_sc.jpg,11.246294866869798,41.87201868128279
AAP000002w,B15-F09_7_sc,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_7_sc.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_7_sc.jpg,11.246294866869798,41.87201868128279
AAP000002x,B15-F09_8,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_8.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_8.jpg,11.23478056171057,41.87337523331696
AAP000002y,B15-F09_8_F475W,http://www.andromedaproject.org.s3.amazonaws.com/subjects/standard/B15-F09_8_F475W.jpg,http://www.andromedaproject.org.s3.amazonaws.com/subjects/thumbnail/B15-F09_8_F475W.jpg,11.23478056171057,41.87337523331696
